id,name,year_start,year_end
FH-0247,O Carapuceiro,1832,1847
FH-0265,Pernambuco Tramways,1913,1968
FH-0102,Cruzeiro do Forte,1645,1654
LC-0451,Farol de Olinda,1941,
LC-0442,O Homem da Meia-Noite,1932,
LC-0444,Troça Carnavalesca Mista Pitombeira dos Quatro Cantos,1947,
LC-0443,Troça Carnavalesca Mista Cariri Olindense,1921,
FH-0492,Parada da Diversidade do Recife,2002,
LC-0464,Associação dos Ex-Combatentes do Brasil Seção de Pernambuco,1945,
FH-0491,Queima da Lapinha,1800,
LC-0596,Rua da Moeda,1700,
LC-0562,Largo do Amparo,1613,
LC-0598,Rua do Amparo,1613,
LC-0561,Ladeira da Misericórdia,1530,
LC-0591,Rua Direita,1800,
LC-0592,Rua Doutor José Mariano,1700,
