Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15
Arsenal da Marinha,Local,Praça,Recife Antigo,http://domingosluna.com.br/wp-content/uploads/2010/06/080720_parsenal_pano.jpg,"O Arsenal da Marinha de Pernambuco foi um edifício sede da Marinha do Brasil na cidade de Recife, capital do estado brasileiro de Pernambuco.",Porto do Recife,Praça do Arsenal,Rua do Bom Jesus,Barreto de Menezes,Praça do Arsenal,Frei Caneca,,,,,,,,,
Assis Chateaubriand,Personagem,,,https://www.cartacapital.com.br/revista/882/chato-e-os-chatozinhos/AssisChateaubriand1.jpg,"Francisco de Assis Chateaubriand Bandeira de Mello, mais conhecido como Assis Chateaubriand ou Chatô, (Umbuzeiro, 4 de outubro de 1892 — São Paulo, 4 de abril de 1968) foi um jornalista, empresário, mecenas e político destacando-se como um dos homens públicos mais influentes do Brasil nas décadas de 1940 e 1960.[1][2] Foi também advogado, professor de direito,[3] escritor[4] e membro da Academia Brasileira de Letras.[5] Chateaubriand foi um magnata das comunicações no Brasil entre o final dos anos 1930 e início dos anos 1960, dono dos Diários Associados, que foi o maior conglomerado de mídia da América Latina, que em seu auge contou com mais de cem jornais, emissoras de rádio e TV, revistas e agência telegráfica. Também é conhecido como o cocriador e fundador, em 1947, do Museu de Arte de São Paulo (MASP), junto com Pietro Maria Bardi, e ainda como o responsável pela chegada da televisão ao Brasil, inaugurando em 1950 a primeira emissora de TV do país, a TV Tupi. Foi Senador da República entre 1952 e 1957",Diario de Pernambuco,Praça da Indepedencia,,,,,,,,,,,,,
Augusto Lucena,Personagem,,,http://www.joaoalberto.com/wp-content/uploads/2016/02/13/augusto-lucena.jpg,"Augusto da Silva Lucena (Guarabira, 14 de fevereiro de 1916 — Recife, 22 de outubro de 1995) foi um advogado e político brasileiro. Foi prefeito do Recife por duas vezes. Mudou-se para o Recife em 1937, para complementar seus estudos. Estudou no Ginásio Pernambucano e fez o curso de Direito na Faculdade de Direito do Recife, concluído em 1944. Conhecido por ter sido aquele que revitalizou o Bairro de São José.",Prefeitura do Recife,Avenida Caxangá,Praça do Carmo,Avenida Dantas Barreto,Ponte Princesa Isabel,Rua Nova,,,,,,,,,
Avenida 17 de Agosto,Local,Logradouro,Casa Forte,,"Avenida 17 de Agosto é um logradouro do município do Recife, Pernambuco. É a principal via do bairro de Casa Forte, além de fazer parte de seu percurso os bairros de Parnamirim, Santana, Poço da Panela e Monteiro. Por ela circulam cerca de 1.900 veículos por hora em horário de pico, de acordo com a Companhia de Trânsito e Transporte Urbano (CTTU). Trata-se de uma homenagem indireta à Batalha de Casa Forte[1], travada entre os luso-brasileiros e os holandeses nessa mesma data[2]. A avenida toma o lugar da antiga estrada de ferro Maxambomba que terminava no bairro de Dois Irmãos.",União Brasileira do Escritores,Praça de Casa Forte,Ariano Suassuna,Museu do Homem do Nordeste,,,,,,,,,,,
Avenida Agamenon Magalhães,Local,Logradouro,Boa Vista,,"Liga Olinda a Zona Sul do Recife e se extende por 5,5 km, cortando nove bairros. Por dia, cerca de 90 mil veículos trafegam pela via. Leva o nome ex-governador de Pernambuco, que teve em sua época grande destaque nacional",Igreja da Capunga,Colégio Americano Batista,Hospital da Restauração,Polo Médico,Hospital Portugues,Agamenon Magalhães,Praça do Entrocamento,Augusto Lucena,,,,,,,
Avenida Barão de Souza Leão,Local,Logradouro,Boa Viagem,,"Liga a Avenida Domingos Ferreira a Avenida Marechal Mascarenhas de Morais, ligando Boa Viagem a Imbiribeira, e se extende por 1,5 km, Por dia, cerca de 20 mil veículos trafegam pela via. Leva o nome de Inácio Joaquim de Sousa Leão, o Barão de Souza Leão.",Barão de Souza Leão,,,,,,,,,,,,,,
Avenida Barbosa Lima,Local,Logradouro,Recife Antigo,http://static.panoramio.com/photos/large/5181528.jpg,"Antiga passagem de bondes que liga o Cais do Apolo a Praça do Marco Zero. Tem 800 m de extensão e leva o nome do politico abolicionista e ex-governador de Pernambuco, Alexandre José Barbosa Lima",Barbosa Lima,Rua do Bom Jesus,Rua da Guia,Rua do Apolo,,,,,,,,,,,
Avenida Boa Viagem,Local,Logradouro,Boa Viagem,http://www.joaoalberto.com/wp-content/uploads/2013/06/25/avenida-boa-viagem.jpg,"Avenida Boa Viagem é um logradouro do município do Recife, Pernambuco. Trata-se de uma das avenidas mais importantes da capital pernambucana. Fazem parte de seu percurso os bairros de Boa Viagem e do Pina. Percorre todo o litoral na praia de Boa Viagem. Inicia-se na avenida Herculano Bandeira e termina na divisa do Recife com o município de Jaboatão dos Guararapes.",1 Jardim de Boa Viagem,2 Jardim de Boa Viagem,3 Jardim de Boa Viagem,Sergio Loreto,,,,,,,,,,,
Avenida Caxangá,Local,Logradouro,Madalena,,"A avenida Caxangá é uma das mais importantes vias arteriais da cidade do Recife, capital estado de Pernambuco, Brasil. É a segunda mais longa avenida em linha reta do Brasil, apresentando percurso totalmente reto de aproximadamente 6,2 km. Foi superada com a construção da Avenida Teotônio Segurado na capital do Tocantins, Palmas, que possui um trecho de 10,2 km em linha reta num total de 19,7 km de extensão[1]. Contudo, a avenida Caxangá continua sendo a mais longa avenida cuja extensão total se desenvolve numa linha reta.",Novaes Filho,Sitio do Valença,Museu da Abolição( Casarão de João Alfredo),,Augusto Lucena,,,,,,,,,,
Avenida Dantas Barreto,Local,Logradouro,São José,,"Na década de 1970 ocorreu a maior e mais vasta ação demolidora sofrida pela cidade: a abertura da Avenida Dantas Barreto (1971-1973), quando centenas de sobrados coloniais foram eliminados e, para permitir a conclusão da obra, que tem 3km de extensão, grande comércio, um grande camelodromo e diversas paradas de ónibus. Leva o nome do General Dantas Barreto",Dantas Barreto,Pelopidas Silveira,Revolução de 1817,Augusto Lucena,Camelodromo,Patio de São Pedro,Praça da Indepedencia,,,,,,,,
